plain_roman,count,diacritics,urdu,devanagari,meter
.suur,1,ṣūr,صور,सूर,cvc
;husain,1,ḥusain,حسین,हुसैन,cscvc
neshtar,1,neshtar,نیشتر,नेश्तर,cvccsc
:tab((-e,2,t̤abʿ-e,طبعِ,तब्-ए,csccz
andoh-e,3,andoh-e,اندوۂ,अंदोह-ए,sccvcz
hazaar,5,hazār,ہزار,हज़ार,cscvc
lahnaa,1,lahnā,لہنا,लहना,csccv
((aafiyat,4,ʿāfiyat,عافیت,आफ़ियत,cvcscsc
;gazal-;xvaa;n,1,ġhazal-ḳhvāñ,غزل خواں,ग़ज़ल-ख़्वाँ,cscscbc<;xv>vn
vi.saal,4,viṣāl,وصال,विसाल,cscvc
himmat-e,3,himmat-e,ہمّتِ,हिम्मत-ए,csccscz
guzartaa,1,guzartā,گزرتا,गुज़रता,cscsccv
doza;x,3,dozaḳh,دوزخ,दोज़ख़,cvcsc
uuftaadah,1,ūftādah,اوفتادہ,ऊफ़्तादा,vccvcsc<h+wb>
chhe;r,3,chheṛ,چھیڑ,छेड़,cvc
samjhaa,17,samjhā,سمجھا,समझा,csccv
daam-gaah,1,dām-gāh,دام گاہ,दाम-गाह,cvcbcvc<h+wb>
vaj'h,1,vaj'h,وجہ,वज्ह,cscc<h+wb>
;xaamah,7,ḳhāmah,خامہ,ख़ामा,cvcsc<h+wb>
za;xm-e,18,zaḳhm-e,زخمِ,ज़ख़्म-ए,csccz
aazaar-e,1,āzār-e,آزارِ,आज़ार-ए,vcvcz
parvaanah,7,parvānah,پروانہ,परवाना,csccvcsc<h+wb>
sharar-baar,2,sharar-bār,شرر بار,शरर-बार,cscscbcvc
insaa;n,2,insāñ,انساں,इंसाँ,sccvn
mausam-e,1,mausam-e,موسمِ,मौसम-ए,cvcscz
paas-baa;n,1,pās-bāñ,پاس باں,पास-बाँ,cvcbcvn
kiye,31,kiye,کیے,किये,cscv
muhr-e,2,muhr-e,مہرِ,मुहर-ए,csccz
ravaanii-e,1,ravānī-e,روانیِ,रवानी-ए,cscvcv<ii+z>z
buu-turaab,1,bū-turāb,بو تراب,बू-तुराब,cvbcscvc
raftaar,4,raftār,رفتار,रफ़तार,csccvc
shiguftah,1,shiguftah,شگفتہ,शिगुफ़्ता,cscsccsc<h+wb>
